 archive-page,filename,title,new-filename
_archive/recovery_2stage_design.html,recovery/2stage_design.md,Two Stage Design,two-stage-design
_archive/recovery_attachments.html,recovery/attachments.md,Attachments,attachments
_archive/recovery_barotester.html,recovery/barotester.md,Barometric Altimeter Tester,barometric-altimeter-tester
_archive/recovery_calculators.html,recovery/calculators.md,Recovery Calculators,recovery-calculators
_archive/recovery_canister.html,recovery/canister.md,Ejection Charges,ejection-charges
_archive/recovery_cordinfo.html,recovery/cordinfo.md,Tubular Nylon and Climbing Cord,tubular-nylon-and-climbing-cord
_archive/recovery_deploybag.html,recovery/deploybag.md,Deployment Bags,deployment-bags
_archive/recovery_design.html,recovery/design.md,Recovery Design,recovery-design
_archive/recovery_drogue.html,recovery/drogue.md,Drogue Sizing,drogue-sizing
_archive/recovery_droptable.html,recovery/droptable.md,Drop Table,drop-table
_archive/recovery_dualdeploy.html,recovery/dualdeploy.md,Dual Deployment,dual-deployment
_archive/recovery_eject.html,recovery/eject.md,Ejection Techniques & Materials,ejection-techniques
_archive/recovery_ematches.html,recovery/ematches.md,Electric Matches,electric-matches
_archive/recovery_harness.html,recovery/harness.md,Recovery Harness,recovery-harness
_archive/recovery_horizspin.html,recovery/horizspin.md,Backwards Sliding,backwards-sliding
_archive/recovery_powder.html,recovery/powder.md,Black Powder Sizing,black-powder-sizing
_archive/recovery_protector.html,recovery/protector.md,Parachute Protection,parachute-protection
_archive/recovery_psize.html,recovery/psize.md,Main Chutes Sizing,main-chutes-sizing
_archive/recovery_techniques.html,recovery/techniques.md,Basic Techniques,basic-techniques
_archive/recovery_tracking.html,recovery/tracking.md,Tracking,tracking
_archive/recovery_vbcalcs.html,recovery/vbcalcs.md,VB Calculators,vb-calculators
_archive/recovery_xformdescent.html,recovery/xformdescent.md,X-Form Descent Rate,x-form-descent-rate
_archive/regulation.html,regulation/index.md,Regulation,regulation
_archive/regulation_clouds.html,regulation/clouds.md,Flying in Clouds,flying-in-clouds
_archive/regulation_environment.html,regulation/environment.md,Getting Legal,getting-legal
_archive/regulation_firemarshal.html,regulation/firemarshal.md,US Fire Marshal,us-fire-marshal
_archive/regulation_magazines.html,regulation/magazines.md,Magazines,magazines
_archive/regulation_mn.html,regulation/mn.md,US: Minnesota,us-minnesota
_archive/regulation_us.html,regulation/us.md,United States,united-states
_archive/regulation_waivertable.html,regulation/waivertable.md,Waiver Table,waiver-table
_archive/regulatory/orangebook/18usc40.html,,,
_archive/regulatory/orangebook/atfoff.html,,,
_archive/regulatory/orangebook/index.html,,,
_archive/regulatory/orangebook/index55.html,,,
_archive/regulatory/orangebook/qanda.html,,,
_archive/regulatory/orangebook/rulings.html,,,
_archive/regulatory/orangebook/storage.html,,,
_archive/regulatory/orangebook/subparta.html,,,
_archive/regulatory/orangebook/subpartb.html,,,
_archive/regulatory/orangebook/subpartc.html,,,
_archive/regulatory/orangebook/subpartd.html,,,
_archive/regulatory/orangebook/subparte.html,,,
_archive/regulatory/orangebook/subpartf.html,,,
_archive/regulatory/orangebook/subpartg.html,,,
_archive/regulatory/orangebook/subparth.html,,,
_archive/regulatory/orangebook/subparti.html,,,
_archive/regulatory/orangebook/subpartj.html,,,
_archive/regulatory/orangebook/subpartk.html,,,
_archive/regulatory/orangebook/tables55.html,,,
_archive/research.html,research/index.md,Motor Research,motor-research
_archive/research_books.html,research/books.md,Books & Resources,books-resources
_archive/research_fuels.html,research/fuels.md,Fuel Types,fuel-types
_archive/research_organizations.html,research/organizations.md,Organizations,organizations
_archive/research_solids.html,research/solids.md,Solid Propellants,solid-propellants
_archive/resources.html,resources/index.md,Rocket Resources,rocket-resources
_archive/resources_decals.html,resources/decals.md,Decal Sources,decal-sources
_archive/resources_glossary.html,resources/glossary.md,Glossary,glossary
_archive/resources_thrustweight.html,resources/thrustweight.md,Thrust & Weight,thrust-weight
_archive/support.html,support/index.md,Ground Support,ground-support
_archive/support_clipwhip.html,support/clipwhip.md,Clip Whips,clip-whips
_archive/support_clusterwires.html,support/clusterwires.md,Cluster Wires,cluster-wires
_archive/support_consoles.html,support/consoles.md,Firing Consoles,firing-consoles
_archive/support_consoles_atinterlock.html,support/consoles_atinterlock.md,AeroTech Interlock,aerotech-interlock
_archive/support_consoles_estesebeam.html,support/consoles_estesebeam.md,Estes Electron Beam Launch Controller,estes-electron-beam
_archive/support_consoles_hmrch6.html,support/consoles_hmrch6.md,"Excerpt from Handbook of Model Rocketry, Chapter 6",handbook-of-model-rocketry-chapter-6
_archive/support_copperheads.html,support/copperheads.md,Copperheads,copperheads
_archive/support_igniters.html,support/igniters.md,Solderless Igniters,solderless-igniters
_archive/support_launcher.html,support/launcher.md,Launch Pads,launch-pads
_archive/support_launchpad.html,support/launchpad.md,Build a Lunch Pad,build-a-lunch-pad
_archive/support_multilauncher.html,support/multilauncher.md,Multi-Pad Launcher,multi-pad-launcher
_archive/support_relaylauncher.html,support/relaylauncher.md,Build a Launcher,build-a-launcher
_archive/welcome.html,welcome/index.md,Welcome,welcome
_archive/welcome_anatomy.html,welcome/anatomy.md,Rocket Anatomy,rocket-anatomy
_archive/welcome_categories.html,welcome/categories.md,Categories,categories
_archive/welcome_clubs.html,welcome/clubs.md,Clubs,clubs
_archive/welcome_design.html,welcome/design.md,Rocket Design,rocket-design
_archive/welcome_laws.html,welcome/laws.md,Laws & Regulations,laws-regulations
_archive/welcome_links.html,welcome/links.md,Links,links
_archive/welcome_motors.html,welcome/motors.md,Motors,motors
_archive/welcome_safety.html,welcome/safety.md,Safety,safety
_archive/welcome_sources.html,welcome/sources.md,Sources,sources
_archive/welcome_starting.html,welcome/starting.md,Starting Out,starting-out
_archive/welcome_terms.html,welcome/terms.md,Terms,terms
